Statistical profiling result from isolate-0x2baed10-v8.log, (589 ticks, 0 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
    215   36.5%    0.0%  /usr/bin/nodejs
     16    2.7%    0.0%  /lib/x86_64-linux-gnu/libc-2.23.so
      1    0.2%    0.0%  [vdso]
      1    0.2%    0.0%  /lib/x86_64-linux-gnu/libm-2.23.so

 [JavaScript]:
   ticks  total  nonlib   name
      4    0.7%    1.1%  Stub: CEntryStub
      2    0.3%    0.6%  LazyCompile: ~posix.resolve path.js:419:25
      2    0.3%    0.6%  LazyCompile: ~exec native regexp.js:85:22
      1    0.2%    0.3%  Stub: ToBooleanStub(Undefined)
      1    0.2%    0.3%  Stub: ToBooleanStub(Null,SpecObject)
      1    0.2%    0.3%  Stub: SubStringStub
      1    0.2%    0.3%  Stub: StoreFastElementStub
      1    0.2%    0.3%  Stub: RegExpExecStub
      1    0.2%    0.3%  Stub: RecordWriteStub
      1    0.2%    0.3%  Stub: LoadConstantStub
      1    0.2%    0.3%  Stub: InternalArraySingleArgumentConstructorStub
      1    0.2%    0.3%  Stub: CompareICStub
      1    0.2%    0.3%  Stub: CallConstructStub
      1    0.2%    0.3%  Stub: ArgumentsAccessStub
      1    0.2%    0.3%  LazyCompile: ~substring native string.js:483:25
      1    0.2%    0.3%  LazyCompile: ~realpathSync fs.js:1383:40
      1    0.2%    0.3%  LazyCompile: ~hasOwnProperty module.js:21:24
      1    0.2%    0.3%  LazyCompile: ~fs.Stats.isSymbolicLink fs.js:159:45
      1    0.2%    0.3%  LazyCompile: ~forEachMimeType /home/phillipdaw/code/gpxAQI/server/node_modules/mime-types/index.js:158:52
      1    0.2%    0.3%  LazyCompile: ~defineProperty native v8natives.js:763:30
      1    0.2%    0.3%  LazyCompile: ~ToPropertyDescriptor native v8natives.js:234:30
      1    0.2%    0.3%  LazyCompile: ~StringSplitOnRegExp native string.js:437:29
      1    0.2%    0.3%  LazyCompile: ~Module._resolveFilename module.js:312:35
      1    0.2%    0.3%  LazyCompile: APPLY_PREPARE native runtime.js:412:37
      1    0.2%    0.3%  LazyCompile: *require internal/module.js:11:19
      1    0.2%    0.3%  LazyCompile: *normalizeArray path.js:17:24
      1    0.2%    0.3%  LazyCompile: *fs.lstatSync fs.js:837:24
      1    0.2%    0.3%  LazyCompile: *fs.Stats fs.js:105:20
      1    0.2%    0.3%  KeyedLoadIC: A keyed load IC from the snapshot
      1    0.2%    0.3%  Handler: An IC handler from the snapshot

 [C++]:
   ticks  total  nonlib   name
    107   18.2%   30.1%  node::ContextifyScript::New(v8::FunctionCallbackInfo<v8::Value> const&)
     15    2.5%    4.2%  __lll_unlock_wake
     11    1.9%    3.1%  write
      4    0.7%    1.1%  v8::internal::Scanner::ScanIdentifierOrKeyword()
      4    0.7%    1.1%  v8::internal::LookupIterator::Next()
      4    0.7%    1.1%  v8::internal::Heap::AllocateFixedArrayWithFiller(int, v8::internal::PretenureFlag, v8::internal::Object*)
      3    0.5%    0.8%  __new_sem_post
      2    0.3%    0.6%  void v8::internal::String::WriteToFlat<unsigned short>(v8::internal::String*, unsigned short*, int, int)
      2    0.3%    0.6%  v8::internal::TemplateHashMapImpl<v8::internal::FreeStoreAllocationPolicy>::Probe(void*, unsigned int) const
      2    0.3%    0.6%  v8::internal::String::IsOneByteEqualTo(v8::internal::Vector<unsigned char const>)
      2    0.3%    0.6%  v8::internal::RelocIterator::next()
      2    0.3%    0.6%  v8::internal::PropertyCallbackArguments::Call(void (*)(v8::Local<v8::Name>, v8::PropertyCallbackInfo<v8::Value> const&), v8::Local<v8::Name>)
      2    0.3%    0.6%  v8::internal::ParserBase<v8::internal::ParserTraits>::ParseAssignmentExpression(bool, v8::internal::ExpressionClassifier*, bool*)
      2    0.3%    0.6%  v8::internal::Operand::Operand(v8::internal::Register, int)
      2    0.3%    0.6%  v8::internal::NameDictionaryBase<v8::internal::NameDictionary, v8::internal::NameDictionaryShape>::FindEntry(v8::internal::Handle<v8::internal::Name>)
      2    0.3%    0.6%  v8::internal::Map::WeakCellForMap(v8::internal::Handle<v8::internal::Map>)
      2    0.3%    0.6%  v8::internal::LookupIterator::ReloadPropertyInformation()
      2    0.3%    0.6%  v8::internal::JsonParser<true>::ParseJsonValue()
      2    0.3%    0.6%  v8::internal::InnerPointerToCodeCache::GetCacheEntry(unsigned char*)
      2    0.3%    0.6%  v8::internal::Heap::ScavengeObject(v8::internal::HeapObject**, v8::internal::HeapObject*)
      2    0.3%    0.6%  v8::internal::Heap::AllocateRaw(int, v8::internal::AllocationSpace, v8::internal::AllocationSpace, v8::internal::AllocationAlignment)
      2    0.3%    0.6%  v8::internal::HashTable<v8::internal::StringTable, v8::internal::StringTableShape, v8::internal::HashTableKey*>::FindEntry(v8::internal::Isolate*, v8::internal::HashTableKey*)
      2    0.3%    0.6%  v8::internal::Context::native_context()
      2    0.3%    0.6%  v8::internal::Code::CopyFrom(v8::internal::CodeDesc const&)
      2    0.3%    0.6%  node::Buffer::Utf8Slice(v8::FunctionCallbackInfo<v8::Value> const&)
      2    0.3%    0.6%  cfree
      2    0.3%    0.6%  __xstat
      2    0.3%    0.6%  __lxstat
      2    0.3%    0.6%  __libc_malloc
      2    0.3%    0.6%  _IO_vfprintf
      2    0.3%    0.6%  _IO_default_xsputn
      1    0.2%    0.3%  void v8::internal::String::WriteToFlat<unsigned char>(v8::internal::String*, unsigned char*, int, int)
      1    0.2%    0.3%  void v8::internal::ScavengingVisitor<(v8::internal::MarksHandling)1, (v8::internal::LoggingAndProfiling)0>::EvacuateObject<(v8::internal::ScavengingVisitor<(v8::internal::MarksHandling)1, (v8::internal::LoggingAndProfiling)0>::ObjectContents)1, (v8::internal::AllocationAlignment)0>(v8::internal::Map*, v8::internal::HeapObject**, v8::internal::HeapObject*, int)
      1    0.2%    0.3%  void v8::internal::Heap::RightTrimFixedArray<(v8::internal::Heap::InvocationMode)1>(v8::internal::FixedArrayBase*, int)
      1    0.2%    0.3%  v8::internal::Zone::NewExpand(unsigned long)
      1    0.2%    0.3%  v8::internal::Zone::New(unsigned long)
      1    0.2%    0.3%  v8::internal::Zone::DeleteAll()
      1    0.2%    0.3%  v8::internal::Variable::IsGlobalObjectProperty() const
      1    0.2%    0.3%  v8::internal::UsePosition::UsePosition(v8::internal::LifetimePosition, v8::internal::LOperand*, v8::internal::LOperand*)
      1    0.2%    0.3%  v8::internal::TypeImpl<v8::internal::HeapTypeConfig>::Iterator<v8::internal::Map>::Advance()
      1    0.2%    0.3%  v8::internal::TypeFeedbackOracle::TypeFeedbackOracle(v8::internal::Isolate*, v8::internal::Zone*, v8::internal::Handle<v8::internal::Code>, v8::internal::Handle<v8::internal::TypeFeedbackVector>, v8::internal::Handle<v8::internal::Context>)
      1    0.2%    0.3%  v8::internal::TransitionArray::Capacity(v8::internal::Object*)
