Statistical profiling result from isolate-0x1787d10-v8.log, (12347 ticks, 0 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
    415    3.4%    0.0%  /usr/bin/nodejs
    202    1.6%    0.0%  /lib/x86_64-linux-gnu/libc-2.23.so
     58    0.5%    0.0%  /lib/x86_64-linux-gnu/libm-2.23.so
      2    0.0%    0.0%  [vdso]
      2    0.0%    0.0%  /lib/x86_64-linux-gnu/libpthread-2.23.so
      1    0.0%    0.0%  /usr/lib/x86_64-linux-gnu/libstdc++.so.6.0.21
      1    0.0%    0.0%  /lib/x86_64-linux-gnu/libcrypto.so.1.0.0

 [JavaScript]:
   ticks  total  nonlib   name
      7    0.1%    0.1%  RegExp: ^(\\/?|)([\\s\\S]*?)((?:\\.{1\,2}|[^\\/]+?|)(\\.[^.\\/]*|))(?:[\\/]*)$
      5    0.0%    0.0%  Stub: CEntryStub
      4    0.0%    0.0%  LazyCompile: ~header /home/phillipdaw/code/gpxAQI/server/node_modules/express/lib/response.js:750:29
      4    0.0%    0.0%  LazyCompile: *ToName native runtime.js:578:16
      3    0.0%    0.0%  Stub: InstanceofStub
      3    0.0%    0.0%  Stub: BinaryOpWithAllocationSiteStub
      3    0.0%    0.0%  LazyCompile: ~nextTick node.js:477:22
      2    0.0%    0.0%  Stub: LoadICStub
      2    0.0%    0.0%  Stub: LoadConstantStub
      2    0.0%    0.0%  LazyCompile: ~module.exports /home/phillipdaw/code/gpxAQI/server/node_modules/simplify-geojson/index.js:3:27
      2    0.0%    0.0%  LazyCompile: ~emitOne events.js:75:17
      2    0.0%    0.0%  LazyCompile: ~createWriteReq net.js:697:24
      2    0.0%    0.0%  LazyCompile: ~OutgoingMessage.write _http_outgoing.js:411:43
      2    0.0%    0.0%  LazyCompile: ~OutgoingMessage._send _http_outgoing.js:120:43
      2    0.0%    0.0%  LazyCompile: handle /home/phillipdaw/code/gpxAQI/server/node_modules/express/lib/router/layer.js:86:49
      2    0.0%    0.0%  LazyCompile: Join native array.js:102:14
      2    0.0%    0.0%  LazyCompile: INSTANCE_OF native runtime.js:364:33
      2    0.0%    0.0%  LazyCompile: *module.exports.processFeatures /home/phillipdaw/code/gpxAQI/server/lib/polygonFun.js:27:18
      2    0.0%    0.0%  KeyedLoadIC: A keyed load IC from the snapshot {1}
      2    0.0%    0.0%  KeyedLoadIC: A keyed load IC from the snapshot
      2    0.0%    0.0%  Handler: An IC handler from the snapshot {1}
      2    0.0%    0.0%  Builtin: JSConstructStubGeneric
