Statistical profiling result from isolate-0x1fd2d10-v8.log, (17037 ticks, 3 unaccounted, 0 excluded).

 [Unknown]:
   ticks  total  nonlib   name
      3    0.0%

 [Shared libraries]:
   ticks  total  nonlib   name
   1039    6.1%    0.0%  /usr/bin/nodejs
    346    2.0%    0.0%  /lib/x86_64-linux-gnu/libc-2.23.so
     39    0.2%    0.0%  /lib/x86_64-linux-gnu/libm-2.23.so
     30    0.2%    0.0%  /lib/x86_64-linux-gnu/libcrypto.so.1.0.0
      5    0.0%    0.0%  [vdso]
      2    0.0%    0.0%  /usr/lib/x86_64-linux-gnu/libstdc++.so.6.0.21
      1    0.0%    0.0%  /lib/x86_64-linux-gnu/libpthread-2.23.so

 [JavaScript]:
   ticks  total  nonlib   name
   1736   10.2%   11.1%  LazyCompile: *simplifyGeometry /home/phillipdaw/code/gpxAQI/server/node_modules/simplify-geometry/lib/index.js:3:32
    330    1.9%    2.1%  LazyCompile: *polygonclip /home/phillipdaw/code/gpxAQI/server/node_modules/lineclip/index.js:66:21
    221    1.3%    1.4%  LazyCompile: *isFinite native v8natives.js:33:24
    124    0.7%    0.8%  LazyCompile: *analyze /home/phillipdaw/code/gpxAQI/server/node_modules/geobuf/encode.js:44:17
    123    0.7%    0.8%  LazyCompile: *writeMultiLine /home/phillipdaw/code/gpxAQI/server/node_modules/geobuf/encode.js:168:24
     86    0.5%    0.6%  LazyCompile: *writePackedSVarint /home/phillipdaw/code/gpxAQI/server/node_modules/pbf/index.js:469:28
     62    0.4%    0.4%  Stub: GrowArrayElementsStub
     46    0.3%    0.3%  Stub: CEntryStub
     39    0.2%    0.3%  LazyCompile: *writeFeatureCollection /home/phillipdaw/code/gpxAQI/server/node_modules/geobuf/encode.js:91:32
     38    0.2%    0.2%  LazyCompile: *Pbf.writeMessage /home/phillipdaw/code/gpxAQI/server/node_modules/pbf/index.js:323:27
     34    0.2%    0.2%  LazyCompile: *writeProps /home/phillipdaw/code/gpxAQI/server/node_modules/geobuf/encode.js:128:20
     34    0.2%    0.2%  LazyCompile: *writeFeature /home/phillipdaw/code/gpxAQI/server/node_modules/geobuf/encode.js:98:22
     27    0.2%    0.2%  Stub: GrowArrayElementsStub {1}
     22    0.1%    0.1%  LazyCompile: *writeUtf8 /home/phillipdaw/code/gpxAQI/server/node_modules/pbf/index.js:567:19
     20    0.1%    0.1%  LazyCompile: *fromObject buffer.js:121:20
     17    0.1%    0.1%  KeyedLoadIC: A keyed load IC from the snapshot {1}
     16    0.1%    0.1%  LazyCompile: *module.exports.processFeatures.filterFeaturesByBounds /home/phillipdaw/code/gpxAQI/server/lib/polygonFun.js:42:26
     14    0.1%    0.1%  Stub: CompareICStub
     13    0.1%    0.1%  LazyCompile: *writePackedVarint /home/phillipdaw/code/gpxAQI/server/node_modules/pbf/index.js:468:27
     12    0.1%    0.1%  LazyCompile: *Pbf.writeString /home/phillipdaw/code/gpxAQI/server/node_modules/pbf/index.js:269:26
     11    0.1%    0.1%  LazyCompile: *simplifyFeature /home/phillipdaw/code/gpxAQI/server/node_modules/simplify-geojson/index.js:15:26
     11    0.1%    0.1%  LazyCompile: *Pbf.writePackedVarint /home/phillipdaw/code/gpxAQI/server/node_modules/pbf/index.js:328:34
     10    0.1%    0.1%  Stub: CompareICStub {1}
      9    0.1%    0.1%  LazyCompile: *exports.write /home/phillipdaw/code/gpxAQI/server/node_modules/ieee754/index.js:34:26
      8    0.0%    0.1%  LazyCompile: ~sendResponse /home/phillipdaw/code/gpxAQI/server/fireAqiServer.js:91:22
      8    0.0%    0.1%  LazyCompile: *writeValue /home/phillipdaw/code/gpxAQI/server/node_modules/geobuf/encode.js:143:20
      7    0.0%    0.0%  Stub: RecordWriteStub {1}
      7    0.0%    0.0%  LazyCompile: *String native string.js:24:27
      6    0.0%    0.0%  Stub: RecordWriteStub
      6    0.0%    0.0%  RegExp: ^(\\/?|)([\\s\\S]*?)((?:\\.{1\,2}|[^\\/]+?|)(\\.[^.\\/]*|))(?:[\\/]*)$
      6    0.0%    0.0%  LazyCompile: ~stringify native json.js:155:23
      6    0.0%    0.0%  LazyCompile: MUL native runtime.js:236:17
      6    0.0%    0.0%  LazyCompile: *populateLine /home/phillipdaw/code/gpxAQI/server/node_modules/geobuf/encode.js:201:22
      6    0.0%    0.0%  Builtin: ArgumentsAdaptorTrampoline
      5    0.0%    0.0%  Stub: LoadConstantStub {1}
      4    0.0%    0.0%  Stub: StringAddStub_CheckNone_NotTenured
      4    0.0%    0.0%  Stub: GrowArrayElementsStub {2}
      4    0.0%    0.0%  Stub: CallFunctionStub
      4    0.0%    0.0%  LazyCompile: ~Socket._writeGeneric net.js:622:42
      4    0.0%    0.0%  LazyCompile: *slicer.slicePolygon /home/phillipdaw/code/gpxAQI/server/node_modules/geojson-slicer/index.js:66:35
      4    0.0%    0.0%  KeyedLoadIC: A keyed load IC from the snapshot
      4    0.0%    0.0%  Handler: An IC handler from the snapshot {10}
      4    0.0%    0.0%  Builtin: ArrayConcat
      3    0.0%    0.0%  Stub: ToBooleanStub
      3    0.0%    0.0%  Stub: CallConstructStub
      3    0.0%    0.0%  Stub: ArraySingleArgumentConstructorStub
      3    0.0%    0.0%  LazyCompile: ~writeUtf8 /home/phillipdaw/code/gpxAQI/server/node_modules/pbf/index.js:567:19
      3    0.0%    0.0%  LazyCompile: ~simplifyFeature /home/phillipdaw/code/gpxAQI/server/node_modules/simplify-geojson/index.js:15:26
      3    0.0%    0.0%  LazyCompile: *sendResponse /home/phillipdaw/code/gpxAQI/server/fireAqiServer.js:91:22
      3    0.0%    0.0%  LazyCompile: *analyzePoints /home/phillipdaw/code/gpxAQI/server/node_modules/geobuf/encode.js:74:23
      3    0.0%    0.0%  LazyCompile: *ToName native runtime.js:578:16
      3    0.0%    0.0%  LazyCompile: *Pbf.writeVarintField /home/phillipdaw/code/gpxAQI/server/node_modules/pbf/index.js:358:31
      3    0.0%    0.0%  Handler: An IC handler from the snapshot {3}
      3    0.0%    0.0%  Builtin: ArraySlice
      2    0.0%    0.0%  Stub: TypeofStub
      2    0.0%    0.0%  Stub: TransitionElementsKindStub
      2    0.0%    0.0%  Stub: RegExpExecStub
      2    0.0%    0.0%  Stub: NumberToStringStub
      2    0.0%    0.0%  Stub: InstanceofStub
      2    0.0%    0.0%  Stub: FastNewContextStub
      2    0.0%    0.0%  Stub: BinaryOpICStub(MUL:Generic*Smi->Number)
      2    0.0%    0.0%  Stub: ArgumentsAccessStub
      2    0.0%    0.0%  LazyCompile: ~substring native string.js:483:25
      2    0.0%    0.0%  LazyCompile: ~pipe /home/phillipdaw/code/gpxAQI/server/node_modules/send/index.js:510:43
      2    0.0%    0.0%  LazyCompile: ~makeRoomForExtraLength /home/phillipdaw/code/gpxAQI/server/node_modules/pbf/index.js:457:32
      2    0.0%    0.0%  LazyCompile: ~indexOf native string.js:76:25
      2    0.0%    0.0%  LazyCompile: ~encode /home/phillipdaw/code/gpxAQI/server/node_modules/geobuf/encode.js:18:16
      2    0.0%    0.0%  LazyCompile: ~applyHeaders /home/phillipdaw/code/gpxAQI/server/node_modules/cors/lib/index.js:144:24
      2    0.0%    0.0%  LazyCompile: Join native array.js:102:14
      2    0.0%    0.0%  LazyCompile: EQUALS native runtime.js:75:23
      2    0.0%    0.0%  LazyCompile: *writeGeometry /home/phillipdaw/code/gpxAQI/server/node_modules/geobuf/encode.js:110:23
      2    0.0%    0.0%  LazyCompile: *slicer.sliceFeature /home/phillipdaw/code/gpxAQI/server/node_modules/geojson-slicer/index.js:87:35
      2    0.0%    0.0%  LazyCompile: *Pbf.writeStringField /home/phillipdaw/code/gpxAQI/server/node_modules/pbf/index.js:366:31
      2    0.0%    0.0%  LazyCompile: *NonNumberToNumber native runtime.js:553:27
      2    0.0%    0.0%  KeyedStoreIC: A keyed store IC from the snapshot
      2    0.0%    0.0%  Handler: An IC handler from the snapshot {9}
      2    0.0%    0.0%  Handler: An IC handler from the snapshot {7}
      2    0.0%    0.0%  Handler: An IC handler from the snapshot {5}
      1    0.0%    0.0%  Stub: ToBooleanStub(String)
      1    0.0%    0.0%  Stub: ToBooleanStub(Smi)
      1    0.0%    0.0%  Stub: ToBooleanStub(Null)
      1    0.0%    0.0%  Stub: SubStringStub
      1    0.0%    0.0%  Stub: StubFailureTrampolineStub
      1    0.0%    0.0%  Stub: StoreTransitionStub
      1    0.0%    0.0%  Stub: StoreFastElementStub
      1    0.0%    0.0%  Stub: RecordWriteStub {2}
      1    0.0%    0.0%  Stub: MathPowStub
