Statistical profiling result from isolate-0x24ccd10-v8.log, (11708 ticks, 0 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
    978    8.4%    0.0%  /usr/bin/nodejs
    220    1.9%    0.0%  /lib/x86_64-linux-gnu/libc-2.23.so
     28    0.2%    0.0%  /lib/x86_64-linux-gnu/libcrypto.so.1.0.0
     21    0.2%    0.0%  /lib/x86_64-linux-gnu/libm-2.23.so
      5    0.0%    0.0%  [vdso]
      4    0.0%    0.0%  /usr/lib/x86_64-linux-gnu/libuv.so.1.0.0
      4    0.0%    0.0%  /lib/x86_64-linux-gnu/libpthread-2.23.so
      3    0.0%    0.0%  /usr/lib/x86_64-linux-gnu/libstdc++.so.6.0.21

 [JavaScript]:
   ticks  total  nonlib   name
   1913   16.3%   18.3%  LazyCompile: *simplifyGeometry /home/phillipdaw/code/gpxAQI/server/node_modules/simplify-geometry/lib/index.js:3:32
    228    1.9%    2.2%  LazyCompile: *isFinite native v8natives.js:33:24
    153    1.3%    1.5%  LazyCompile: *analyze /home/phillipdaw/code/gpxAQI/server/node_modules/geobuf/encode.js:44:17
    141    1.2%    1.3%  LazyCompile: *writePackedSVarint /home/phillipdaw/code/gpxAQI/server/node_modules/pbf/index.js:469:28
    134    1.1%    1.3%  LazyCompile: *populateLine /home/phillipdaw/code/gpxAQI/server/node_modules/geobuf/encode.js:201:22
     51    0.4%    0.5%  LazyCompile: *Pbf.writeMessage /home/phillipdaw/code/gpxAQI/server/node_modules/pbf/index.js:323:27
     45    0.4%    0.4%  Stub: CEntryStub
     45    0.4%    0.4%  LazyCompile: *writeFeatureCollection /home/phillipdaw/code/gpxAQI/server/node_modules/geobuf/encode.js:91:32
     44    0.4%    0.4%  LazyCompile: *writeFeature /home/phillipdaw/code/gpxAQI/server/node_modules/geobuf/encode.js:98:22
     31    0.3%    0.3%  LazyCompile: *Pbf.writePackedSVarint /home/phillipdaw/code/gpxAQI/server/node_modules/pbf/index.js:329:34
     30    0.3%    0.3%  Stub: GrowArrayElementsStub
     25    0.2%    0.2%  LazyCompile: *writeProps /home/phillipdaw/code/gpxAQI/server/node_modules/geobuf/encode.js:128:20
     21    0.2%    0.2%  LazyCompile: *writeUtf8 /home/phillipdaw/code/gpxAQI/server/node_modules/pbf/index.js:567:19
     19    0.2%    0.2%  LazyCompile: *fromObject buffer.js:121:20
     16    0.1%    0.2%  LazyCompile: *simplifyFeature /home/phillipdaw/code/gpxAQI/server/node_modules/simplify-geojson/index.js:15:26
     14    0.1%    0.1%  LazyCompile: *writePackedVarint /home/phillipdaw/code/gpxAQI/server/node_modules/pbf/index.js:468:27
     13    0.1%    0.1%  LazyCompile: *Pbf.writeString /home/phillipdaw/code/gpxAQI/server/node_modules/pbf/index.js:269:26
     13    0.1%    0.1%  KeyedLoadIC: A keyed load IC from the snapshot {1}
     10    0.1%    0.1%  Stub: CompareICStub
      9    0.1%    0.1%  LazyCompile: *exports.write /home/phillipdaw/code/gpxAQI/server/node_modules/ieee754/index.js:34:26
      6    0.1%    0.1%  LazyCompile: *Pbf.writePackedVarint /home/phillipdaw/code/gpxAQI/server/node_modules/pbf/index.js:328:34
      4    0.0%    0.0%  Stub: RecordWriteStub {1}
      4    0.0%    0.0%  RegExp: ^(\\/?|)([\\s\\S]*?)((?:\\.{1\,2}|[^\\/]+?|)(\\.[^.\\/]*|))(?:[\\/]*)$
      4    0.0%    0.0%  LazyCompile: *writeMultiLine /home/phillipdaw/code/gpxAQI/server/node_modules/geobuf/encode.js:168:24
      4    0.0%    0.0%  LazyCompile: *Pbf.writeVarintField /home/phillipdaw/code/gpxAQI/server/node_modules/pbf/index.js:358:31
      4    0.0%    0.0%  KeyedLoadIC: A keyed load IC from the snapshot
      4    0.0%    0.0%  Builtin: ArraySlice
      3    0.0%    0.0%  Stub: BinaryOpWithAllocationSiteStub
      3    0.0%    0.0%  Stub: ArraySingleArgumentConstructorStub
      3    0.0%    0.0%  LazyCompile: ~resOnFinish _http_server.js:490:25
      3    0.0%    0.0%  LazyCompile: Join native array.js:102:14
      3    0.0%    0.0%  LazyCompile: *writeValue /home/phillipdaw/code/gpxAQI/server/node_modules/geobuf/encode.js:143:20
      3    0.0%    0.0%  LazyCompile: *analyzePoints /home/phillipdaw/code/gpxAQI/server/node_modules/geobuf/encode.js:74:23
      3    0.0%    0.0%  LazyCompile: *<anonymous> /home/phillipdaw/code/gpxAQI/server/fireAqiServer.js:153:21
      3    0.0%    0.0%  Builtin: ArrayConcat
      3    0.0%    0.0%  Builtin: ArgumentsAdaptorTrampoline
      2    0.0%    0.0%  Stub: TypeofStub
      2    0.0%    0.0%  Stub: LoadFieldStub {1}
      2    0.0%    0.0%  Stub: GrowArrayElementsStub {1}
      2    0.0%    0.0%  Stub: FastCloneShallowArrayStub
      2    0.0%    0.0%  Stub: CEntryStub {1}
      2    0.0%    0.0%  LazyCompile: ~setPrototypeOf native v8natives.js:653:30
      2    0.0%    0.0%  LazyCompile: ~sendResponse /home/phillipdaw/code/gpxAQI/server/fireAqiServer.js:91:22
      2    0.0%    0.0%  LazyCompile: ~remove _linklist.js:28:16
      2    0.0%    0.0%  LazyCompile: ~next /home/phillipdaw/code/gpxAQI/server/node_modules/express/lib/router/index.js:176:16
      2    0.0%    0.0%  LazyCompile: ~exports.write /home/phillipdaw/code/gpxAQI/server/node_modules/ieee754/index.js:34:26
      2    0.0%    0.0%  LazyCompile: ~exec native regexp.js:85:22
      2    0.0%    0.0%  LazyCompile: ~contentType /home/phillipdaw/code/gpxAQI/server/node_modules/express/lib/response.js:590:32
      2    0.0%    0.0%  LazyCompile: ~clearBuffer _stream_writable.js:362:21
      2    0.0%    0.0%  LazyCompile: ~app.get.checkLegend /home/phillipdaw/code/gpxAQI/server/fireAqiServer.js:130:27
      2    0.0%    0.0%  LazyCompile: ~Readable.read _stream_readable.js:250:35
      2    0.0%    0.0%  LazyCompile: ~OutgoingMessage.end _http_outgoing.js:514:41
      2    0.0%    0.0%  LazyCompile: ~OutgoingMessage._storeHeader _http_outgoing.js:188:50
      2    0.0%    0.0%  LazyCompile: ~InnerArrayJoin native array.js:317:24
      2    0.0%    0.0%  LazyCompile: *test native regexp.js:132:20
      2    0.0%    0.0%  LazyCompile: *module.exports.processFeatures /home/phillipdaw/code/gpxAQI/server/lib/polygonFun.js:27:18
      2    0.0%    0.0%  LazyCompile: *join native array.js:333:19
      2    0.0%    0.0%  KeyedStoreIC: A keyed store IC from the snapshot {1}
      2    0.0%    0.0%  Handler: oncomplete {1}
      2    0.0%    0.0%  Handler: An IC handler from the snapshot
      1    0.0%    0.0%  Stub: ToBooleanStub(Undefined,SpecObject)
      1    0.0%    0.0%  Stub: ToBooleanStub(String)
      1    0.0%    0.0%  Stub: ToBooleanStub(Bool,Null)
      1    0.0%    0.0%  Stub: ToBooleanStub
      1    0.0%    0.0%  Stub: SubStringStub
      1    0.0%    0.0%  Stub: StringAddStub_CheckNone_NotTenured
      1    0.0%    0.0%  Stub: StoreTransitionStub {3}
      1    0.0%    0.0%  Stub: StoreTransitionStub {2}
